"V1","Gene","A_1","B_1","vehicle_1","C_1","A_2","C_2","vehicle_2","C_3","B_2","A_3","B_3","vehicle_3"
100,"DEFB4A",688,438,736,662,1019,572,863,724,444,573,455,749
101,"SIAH2-AS1",4295,5157,2955,4303,5278,2755,3164,3049,5040,3530,4499,3277
102,"RPS18P9",11585,7956,8319,11355,19599,9921,8594,11748,10387,7744,7221,7811
103,"PRSS45",126,96,211,155,201,90,90,169,119,78,57,121
104,"RN7SL68P",494,189,348,519,551,322,404,275,204,389,144,338
105,"ZNRF2P3",515,882,548,555,864,444,613,641,945,569,1048,512
106,"OR8V1P",13,5,30,10,55,9,16,14,38,18,17,32
107,"HOXA5",3494,5851,2151,2949,5311,2065,2828,2432,4939,3618,4423,2524
108,"HNRNPA1P37",1097,423,797,1230,1381,899,872,887,819,801,390,1098
109,"HADHAP1",1884,1137,934,1557,2616,1225,1257,1293,1366,1348,824,1242
110,"CCDC13",0,0,0,0,2,1,1,1,0,0,1,1
111,"RN7SKP95",1335,1416,2725,3482,1747,1993,2884,1290,2248,1035,2432,3065
112,"PPFIA2",0,0,0,0,0,0,0,0,0,0,0,0
113,"TMOD1",0,0,0,0,0,0,0,0,0,0,0,0
114,"WBSCR27",0,0,2,0,0,1,2,0,0,1,1,2
115,"RBM22P8",0,0,0,1,0,3,1,1,0,0,0,2
116,"WBP1LP4",0,0,0,0,1,0,0,1,0,4,0,1
117,"MIR4668",0,0,0,0,0,0,0,0,0,0,0,0
118,"OSTC",1022,258,479,788,1423,488,665,540,468,804,212,710
119,"SEMA5A",2338,874,1934,2106,3712,1649,1765,1681,1351,1586,760,1841
120,"AP4E1",11349,8905,2441,10899,17054,7216,7126,4057,11370,8330,6886,6678
121,"IRX2",2265,1595,729,4602,2855,1325,811,2455,1873,1489,1189,971
122,"C1orf173",1801,2168,991,1247,2962,796,1271,978,1833,2164,1962,979
123,"HHEX",699,362,374,716,885,469,567,491,376,502,286,606
124,"OSBPL3",754,589,289,642,754,551,554,520,388,503,369,602
125,"C4orf51",401,366,460,584,581,527,747,575,500,304,361,600
126,"RN7SL637P",4563,1904,2730,4199,6704,3171,3258,2367,2402,3410,1498,3155
127,"NF1P4",1177,379,1613,706,1835,667,1247,678,639,1165,458,1116
128,"RNU6-1237P",0,2,0,0,0,0,2,0,0,1,2,3
129,"QPRT",1,3,2,0,5,0,0,0,0,0,0,3
130,"MIR15B",6843,4285,5491,6559,8281,5255,7500,3851,4631,5309,3355,6982
131,"HMGN1P5",1669,906,1234,1475,2117,1116,1607,965,930,1154,706,1297
132,"DLG4",13910,5952,6159,11490,19276,8998,10044,6169,7398,10584,5182,10107
133,"GABPA",275,122,120,419,458,272,161,203,213,233,123,173
134,"NALCN-AS1",545,65,387,473,1051,663,187,314,225,384,81,297
135,"C8orf12",32,0,21,16,24,10,18,0,6,29,6,22
136,"MT1DP",5915,3084,2707,4589,8035,3101,3843,3100,3706,4451,2248,4453
137,"MLLT10",0,0,0,0,0,0,0,0,0,0,0,0
138,"RHOQP3",1298,582,1005,1267,1511,1273,1159,1602,1037,990,634,1004
139,"PTGES3",1117,646,797,758,1438,905,931,766,897,742,602,914
140,"PAIP2B",1,0,0,0,0,0,0,0,0,0,0,0
141,"OR7E84P",542,893,379,296,755,370,250,291,714,539,770,275
142,"LINC01132",800,158,1026,1732,1333,1379,1036,789,294,445,81,1203
143,"KLF17P2",3297,3846,2182,3076,4239,2463,2819,3199,3771,3253,3795,2710
144,"TRGV10",1157,298,735,791,1179,571,1079,758,433,719,231,951
145,"USP4",5236,2756,3064,6947,5351,3660,4477,3186,2658,3184,1739,4868
146,"ANKRD30B",2295,576,653,928,2754,762,782,710,1068,1822,892,961
147,"MMP7",3361,1572,1183,2015,3846,1488,1679,1231,2013,2062,1447,1943
148,"TMEM256-PLSCR3",333,646,351,152,516,116,154,152,478,422,399,148
149,"CYCSP43",1644,2738,1055,1078,1964,918,1111,1122,1509,1739,1525,1084
150,"ODAM",2081,917,1091,1245,2247,1008,1304,1214,1242,1335,837,1421
151,"MFAP4",2,2,4,34,0,4,1,5,3,0,0,2
152,"IGHV1OR16-3",823,301,435,821,1050,461,739,585,307,630,338,700
153,"TEX28P1",241,318,85,283,301,150,97,148,552,161,354,150
154,"ATM",3360,975,1857,2573,4318,1659,1466,1381,1354,1842,902,2000
155,"AHCYP1",6852,5642,3667,3694,7256,3356,2624,3539,4896,4170,3279,3105
156,"ADK",0,0,0,0,1,0,1,0,0,1,2,0
157,"ITGAX",25,10,31,25,34,36,26,29,33,16,17,13
158,"LINC00844",1890,647,1136,1620,3180,1465,1412,999,919,1334,561,1527
159,"RNU1-17P",2,0,0,0,0,0,1,0,0,0,0,0
160,"FOSL1P1",2758,3826,3302,4347,3156,2427,2464,2248,3253,1942,3126,2974
161,"RNA5SP475",2083,490,1067,2071,2453,1256,2272,2133,856,1669,526,2157
162,"AATF",3883,707,3458,3073,3360,2996,4580,5590,1231,2195,583,4336
163,"RNU6-490P",2927,449,1778,2561,4322,2263,2317,1460,887,1656,368,2315
164,"DUTP4",190,164,153,97,283,117,108,84,255,187,122,88
165,"MIR4690",2762,896,1624,2801,3682,2098,2206,1730,1240,1889,663,2257
166,"ORC4",2542,1808,2464,2190,3033,1829,2506,2187,2238,2340,1818,2463
167,"POLD3",52,4,32,36,26,9,38,23,15,40,11,25
168,"TFE3",269,413,195,160,380,98,126,82,286,402,241,110
169,"RAD21",0,0,0,0,1,0,0,0,0,0,0,0
170,"SEPT7P9",885,899,1064,904,1333,735,913,830,1006,894,732,975
171,"XRCC4",1280,1141,686,1361,2681,1037,993,576,1681,1125,1141,1245
172,"PGGT1B",4,6,0,38,1,3,1,2,2,6,2,1
173,"SS18L2P2",0,0,0,0,0,0,0,0,0,0,0,0
174,"RN7SL65P",54,56,40,86,101,46,64,97,45,71,50,86
175,"NUP210P2",505,54,138,278,608,166,250,39,113,161,57,272
176,"CCR12P",865,204,861,1120,1355,1313,972,938,446,534,314,836
177,"MFGE8",111,198,281,385,300,197,186,170,242,88,200,117
178,"C1orf226",9954,12979,10530,7491,15172,6396,8615,5933,12631,11414,10750,8149
179,"PHBP15",3,2,6,11,18,6,2,8,5,4,9,3
180,"KRTAP8-2P",409,131,291,98,856,151,179,83,182,261,118,241
181,"POLD2",3,4,1,1,2,4,6,0,1,2,2,0
182,"OR52I2",16518,5057,11858,13966,25619,14189,14361,9025,9701,10756,4708,16204
183,"RPL35AP35",0,0,0,0,0,0,0,0,0,0,0,0
184,"DBH-AS1",1,0,1,4,0,0,2,0,0,1,0,0
185,"CCDC120",868,266,536,1374,1128,819,941,749,406,765,211,952
186,"ALG1",13212,8740,8246,13087,20973,9352,10648,10353,8936,11138,6720,12887
187,"NAP1L4P1",249,383,140,192,356,107,180,228,268,318,240,183
188,"DOCK4",255,177,150,138,239,84,181,85,170,212,166,174
189,"UBE2V1P8",0,0,1,0,0,0,0,0,0,0,0,0
190,"DAB1",1531,961,867,926,2325,1189,1061,1309,1271,941,942,1034
191,"SERBP1P4",687,600,367,604,767,435,664,567,631,602,660,680
192,"DCAF8",361,276,217,423,526,301,379,369,269,317,235,481
193,"NAV2-IT1",0,0,0,0,2,0,0,1,0,0,1,0
194,"ZDBF2",3629,657,4620,3010,4155,2578,4788,3570,1352,2451,851,4577
195,"CHGA",715,631,463,544,1008,451,421,607,583,544,558,473
196,"MRPS36P4",1115,430,822,1058,1334,1075,1051,1157,573,772,407,1068
197,"PCGF5",3337,2115,1942,2728,4180,2335,2489,2317,2039,2365,1609,2650
198,"ADCK4",60,10,31,20,55,50,36,139,35,24,8,76
199,"BHLHE40-AS1",2801,1964,990,2707,3066,1539,1692,1634,2246,2236,2231,1951
200,"CDK14",108,83,104,23,157,18,170,8,100,162,83,83
201,"ADAMTS15",5693,2609,4350,4675,7163,2941,4178,4628,3532,3980,2432,3810
202,"DAZ1",1866,664,949,1229,1907,1275,1549,1200,1297,1321,1019,1557
203,"BOP1",897,3080,150,741,900,488,293,681,1383,567,2135,328
204,"NUDT5",1589,1853,1222,1169,2617,667,1195,869,1624,2244,1804,1054
205,"PRY2",1197,1173,751,1425,1681,921,969,895,1052,1121,613,954
206,"C2orf47",191,105,80,197,203,172,84,119,78,110,85,88
207,"PLCH1",0,1,0,0,0,0,0,0,0,0,0,0
208,"TYW3",3,6,3,1,0,4,1,0,2,4,4,1
209,"MYOF",6,3,12,2,11,6,3,5,1,6,2,7
210,"RNU1-1",77,112,97,94,110,109,73,102,145,126,99,48
211,"MIR3158-2",0,1,0,0,4,0,7,1,1,1,1,0
212,"RPL21P17",20,5,7,3,21,0,3,2,11,9,4,4
213,"TRAV17",0,0,2,1,0,0,2,0,2,1,0,3
214,"RCN1",1707,873,889,1319,2259,846,1231,1716,894,1263,857,1572
215,"KRT8P26",2206,2882,1359,1863,2679,1291,1529,1498,2065,1965,2024,1686
216,"ZNF773",6617,2647,4754,11285,9118,8673,5222,5378,2830,4326,1809,6969
217,"COX6CP2",6488,1578,4552,11685,8920,8394,4312,8338,2551,3103,1260,5715
218,"RPL18AP16",45,3,90,51,90,46,77,40,10,35,3,110
219,"TRAPPC2P4",0,3,0,3,0,0,0,0,0,0,3,4
220,"FAM89B",191,384,162,179,201,122,177,143,316,199,242,126
221,"KIAA1919",46,124,31,56,59,32,31,68,55,40,84,31
222,"RNU6-902P",1,4,0,1,1,7,0,4,1,0,2,2
223,"C17orf70",3,2,1,1,2,5,2,9,0,1,5,0
224,"PYDC1",75,211,22,79,68,50,43,36,129,67,132,31
225,"RHOT1P3",0,0,0,0,0,0,0,0,0,0,0,0
226,"PRKRIRP5",0,0,0,2,0,0,0,0,0,0,0,0
227,"HFE",10595,29115,5139,9197,14703,5869,6969,6830,16224,12218,16360,7252
228,"RNF113A",1671,1842,1983,2242,2492,1772,1249,1870,1666,1405,1248,1490
229,"HPSE",40,6,19,13,21,34,38,33,21,16,5,26
230,"RNU6-1256P",12,9,7,17,21,15,10,10,12,17,2,7
231,"SEPT7P8",29,30,44,23,35,12,26,18,37,14,29,5
232,"ACTA1",1,0,5,0,0,0,0,1,0,1,0,0
233,"ADCYAP1",224709,117632,252860,237387,328948,186011,220711,248425,157291,167128,123660,201788
234,"MPC2",2,0,2,1,2,0,0,0,0,0,0,0
235,"RAD1P2",6,0,9,11,15,9,4,13,0,6,1,4
236,"AASS",52,8,66,63,97,55,69,55,27,52,6,71
237,"PRR14L",16,6,12,15,18,12,26,14,1,16,4,16
238,"RN7SL28P",8,4,14,7,7,0,4,4,2,13,9,0
239,"KIF1C",24,4,29,47,45,10,26,15,2,17,3,12
240,"TRBJ2-5",37,4,35,43,60,34,42,43,12,23,3,33
241,"TRBV11-2",1,0,0,0,0,0,0,0,0,1,0,1
242,"KEAP1",16,2,7,8,20,6,13,11,4,6,2,9
243,"NCAN",52,50,56,53,104,47,55,76,44,64,33,40
244,"SNRPGP1",14,2,19,15,29,11,13,26,6,18,0,25
245,"PRF1",26,2,5,17,28,24,11,16,1,8,0,22
246,"ZNF641",130408,48545,154757,138005,193125,119880,142315,119860,69456,85638,40819,136410
247,"MRPS15P1",25,7,11,18,13,12,20,8,8,17,4,7
248,"CIDEA",18,0,21,23,34,17,22,20,5,28,3,14
249,"MTMR7",65,2,35,28,46,28,33,25,6,18,8,32
250,"TUBA3GP",12,1,22,26,32,8,7,18,1,18,5,10
251,"EIF3LP3",0,0,0,0,0,0,0,0,0,0,0,0
252,"OR4C5",0,2,35,28,46,28,33,25,6,18,8,32
253,"OR7E25P",37,40,33,16,33,13,11,16,27,37,19,23
254,"LINC00686",0,0,2,7,9,0,4,5,2,2,1,3
255,"GRIN2A",15,1,16,36,40,28,18,16,1,30,2,19
256,"PIWIL4",8,0,6,7,9,6,4,10,1,7,3,10
257,"DMTF1",171,525,187,561,115,247,247,172,232,116,438,366
258,"EXTL2P1",3563,1157,2548,2596,3977,2314,3512,2465,1895,2464,947,3391
259,"HBQ1",0,0,0,0,0,0,0,0,0,0,0,0
260,"EPHA10",0,0,0,0,0,0,0,0,0,0,0,0
261,"OR51F2",0,0,3,0,0,2,0,0,0,0,0,2
262,"NPAS2",19,14,52,22,21,11,70,20,14,30,10,47
263,"CACTIN-AS1",0,0,0,0,0,0,0,0,0,0,0,0
264,"ABCA13",6868,2158,5259,8532,10781,6294,6250,3556,4058,4619,2129,7437
265,"AVL9",0,0,0,0,0,0,0,0,0,0,0,0
266,"RNU6-1187P",20,0,42,6,5,5,9,25,7,13,2,4
267,"ZNF384",0,0,1,3,3,1,0,0,1,2,4,0
268,"TLN1",34233,17950,25073,31833,52076,24812,25941,19941,25832,21915,16397,30526
269,"NPM1P50",7,0,3,3,3,4,3,2,0,5,2,4
270,"PRYP5",0,0,0,0,1,0,0,0,0,0,0,0
271,"RABGEF1",6036,1798,3470,4693,8109,3668,5161,4779,2837,4187,1844,4417
272,"PPIAL4G",9818,7200,6911,8171,13808,6211,8843,7542,7734,8950,5863,8408
273,"MTND1P35",1665,1166,1033,1395,2242,986,1001,1193,1301,1305,857,1145
274,"BAD",16879,4495,9953,17063,23472,9961,15886,9560,8133,10959,3423,15594
275,"RN7SKP177",20665,8841,12511,19491,27853,12874,21076,15122,13386,15505,7813,19356
276,"IL33",337,196,249,317,422,258,381,285,215,299,142,326
277,"RNA5SP101",0,0,0,3,0,3,0,0,0,0,0,0
278,"RNA5SP176",0,0,0,0,0,0,0,0,0,0,0,0
279,"RPL5P4",0,0,0,0,0,0,0,0,0,0,0,0
280,"MIR4419B",0,0,0,0,0,0,0,0,0,0,0,0
281,"SLFN14",0,0,0,0,0,0,0,0,0,0,0,0
282,"RPL28",289,361,166,207,289,160,249,201,195,290,196,224
283,"RPS7P11",11,1,7,4,20,3,7,4,3,10,2,8
284,"VKORC1",0,0,0,0,0,0,0,0,0,0,0,0
285,"MAP7D2",1047,492,765,848,1075,734,942,742,597,703,470,810
286,"IKZF5",1321,439,872,1114,1704,753,1277,1143,514,993,343,737
287,"CCDC73",0,0,0,0,0,0,0,0,0,0,0,0
288,"EIF2B4",978,412,635,769,1408,614,949,574,503,815,369,1043
289,"FAM133B",0,0,0,2,0,0,0,0,0,0,0,0
290,"CRYZ",0,0,0,0,0,0,0,0,0,0,0,0
291,"RNU1-89P",25,31,12,8,38,42,26,17,15,41,30,39
292,"POU3F2",1057,282,574,1121,1649,900,772,832,472,697,216,816
293,"ABCC5",4685,2624,2507,3271,6639,2726,2926,2445,3217,3867,2431,3277
294,"CDKN2AIPNLP2",20,1,26,25,20,10,29,37,1,6,0,19
295,"RN7SL294P",777,498,407,637,890,469,540,525,570,591,522,449
296,"APITD1-CORT",281,185,243,238,309,181,142,109,143,171,132,168
297,"YAP1P2",40,13,14,9,23,6,12,14,8,23,17,6
298,"LINC00184",6,3,0,4,0,3,0,1,1,0,0,0
299,"YBX1P5",2509,1729,1567,1862,3236,1535,1876,2149,2037,2150,1430,1854
300,"USP17L18",60,144,7,28,60,16,51,34,80,46,102,33
301,"TBL1XR1-AS1",167,72,152,114,164,87,138,151,105,162,108,128
302,"RNU6-239P",492,347,415,629,623,311,777,768,439,501,468,555
303,"ITGA5",20,5,43,14,34,66,25,29,4,21,11,30
304,"TET3",6,0,0,6,11,0,12,0,0,8,0,9
305,"TXNP2",0,0,0,0,0,0,0,0,0,0,0,0
306,"C16orf82",0,0,0,0,0,1,0,0,1,0,0,0
307,"PROCR",340,182,213,240,366,221,204,135,143,216,145,225
308,"MYH2",1845,987,1163,1857,2344,1402,1514,883,820,1241,728,1428
309,"SNORD71",16,21,18,9,25,5,11,13,13,25,14,20
310,"SNORD114-22",22,0,6,8,13,1,5,10,10,14,3,7
311,"P2RX7",26807,20522,17511,37869,33159,26433,27453,23151,24847,19025,21442,27619
312,"EPGN",2233,1055,1428,1952,3578,1396,1600,1132,1161,1686,910,1392
313,"RAET1E-AS1",0,0,0,0,0,0,0,0,0,0,0,0
314,"TRAJ61",0,0,6,1,1,0,0,0,0,0,0,0
315,"TXNDC17",185,243,293,109,179,70,106,113,191,183,204,83
316,"WDR7",1,0,2,0,0,0,0,0,0,0,0,0
317,"TRBV21OR9-2",0,2,0,0,0,0,0,0,0,1,0,0
318,"RPS3",2,2,1,0,4,0,0,0,5,0,1,2
319,"RNU1-101P",8,16,20,5,16,2,8,3,13,11,26,5
320,"MIR4743",0,0,0,0,0,0,0,0,0,0,0,0
321,"GAGE12G",0,0,0,0,0,0,0,0,0,0,0,0
322,"MTPN",2,0,0,5,3,0,3,0,3,2,2,1
323,"ZBTB45",0,0,0,0,0,2,0,0,0,0,0,0
324,"RN7SL635P",586,1090,329,390,708,210,556,180,498,768,894,475
325,"TOX2",3,0,6,1,3,1,3,0,0,1,3,0
326,"ZNF18",0,0,0,0,0,0,0,0,0,0,0,0
327,"SGSH",3,2,10,7,12,24,6,10,0,3,0,0
328,"RAB26",0,1,2,3,0,0,0,0,1,0,0,0
329,"MAP3K3",0,0,0,0,0,0,0,0,0,0,0,0
330,"THAP2",25,64,25,21,37,21,15,10,29,42,40,8
331,"PLAU",21,60,22,7,20,0,20,15,37,18,56,16
332,"NPFF",2,0,0,0,3,0,0,3,0,0,0,0
333,"OR7E160P",0,0,0,0,0,0,0,0,0,0,0,0
334,"COL6A1",0,0,0,0,0,0,0,0,0,1,0,0
335,"CD40",0,0,0,0,0,0,0,0,0,0,0,0
336,"PTGS1",1,0,4,0,0,0,0,1,0,0,0,1
337,"LINC01119",345,866,195,459,450,196,336,115,966,250,624,441
338,"RNU6-2",5423,564,1660,5555,6325,4126,3407,1689,958,2240,273,4474
339,"PARP4P3",0,0,0,0,0,0,0,0,0,0,0,0
340,"MIR320B2",1354,1370,628,1069,1475,682,601,839,979,963,1004,745
341,"RNU6-237P",125,183,187,110,230,149,147,35,282,171,181,125
342,"HHIPL2",32,0,32,26,28,22,56,18,2,15,1,65
343,"CCR7",284,327,280,215,373,226,162,151,237,255,240,166
344,"SNORD23",22,0,21,35,33,23,4,6,23,20,8,11
345,"PPP1R12C",2159,519,719,918,3833,773,1685,530,2186,2075,696,2343
346,"RBMS3-AS3",0,0,0,1,0,0,0,0,0,0,0,0
347,"ATP6V1E1P1",782,1248,447,997,1105,564,765,533,945,922,946,799
348,"COL20A1",1,1,3,3,8,0,2,0,0,4,3,5
349,"LARP1",110,9,71,84,175,41,79,45,22,101,21,98
350,"PNOC",16,0,5,13,15,17,11,7,0,9,8,15
351,"OR4U1P",25,30,52,52,46,51,48,15,22,15,5,62
352,"NOX4",0,0,0,0,0,0,0,0,0,0,0,0
353,"RNU7-26P",0,180,5,15,0,13,3,16,21,2,43,0
354,"RPL30P15",50,35,20,20,38,25,17,16,31,26,15,24
355,"C17orf77",0,0,5,3,0,2,0,0,0,2,0,1
356,"NOXRED1",45,8,568,10,101,21,305,1,14,137,9,138
357,"CEBPE",16,11,21,24,8,36,17,10,26,20,8,27
358,"C6orf10",0,0,0,4,0,0,0,0,0,0,0,0
359,"POPDC3",0,1,0,0,0,0,0,0,0,0,0,0
360,"KIRREL3",2,3,0,2,5,3,0,0,0,1,3,3
361,"ATP7B",0,0,0,0,1,0,0,2,0,0,0,0
362,"SNORD123",1,0,1,0,0,0,0,1,0,0,0,0
363,"SYNGR4",213,50,73,133,455,59,308,16,170,211,55,143
364,"LZTS2",0,0,0,0,0,0,0,0,0,0,0,0
365,"VN1R64P",1,0,0,0,1,0,0,0,0,0,0,0
366,"SNORD91A",17,18,3,1,13,2,9,0,6,19,3,5
367,"ANXA4",16,7,21,47,21,15,29,33,22,12,10,21
368,"RNU7-65P",1648,1002,1166,1763,2432,799,1187,507,1098,1152,696,1537
369,"GCSHP1",7,34,0,10,8,10,13,5,19,12,20,10
370,"RPS26P24",3,9,4,0,2,1,0,0,5,2,6,0
371,"MIR101-2",35,222,34,117,116,63,22,24,115,25,134,36
372,"RN7SL836P",704,665,1476,1721,1101,1196,1754,613,1234,475,1238,1746
373,"PMF1-BGLAP",16,2,9,11,10,4,5,2,6,9,0,4
374,"OR13C3",19450,7219,10223,15219,25819,12959,15060,8213,7678,12583,4663,15745
375,"RNU7-181P",245,700,233,370,387,262,256,190,341,274,366,265
376,"RNU6-476P",2,1,0,37,4,1,0,23,0,2,0,6
377,"RNA5SP320",0,0,0,0,0,0,0,0,0,0,0,0
