,model_name,agent,TGI,tumor_type
85,CTG-0033,Trastuzumab,75,Breast
86,CTG-0033,Trastuzumab emtansine,177,Breast
87,CTG-0052,Carboplatin,87,Breast
88,CTG-0052,Paclitaxel,87,Breast
89,CTG-0052,Cetuximab,43,Breast
90,CTG-0052,Cisplatin,102,Breast
91,CTG-0052,Cisplatin,123,Breast
92,CTG-0052,Docetaxel,78,Breast
93,CTG-0052,Docetaxel,47,Breast
94,CTG-0052,Erlotinib,47,Breast
95,CTG-0052,Liposomal doxorubicin,111,Breast
96,CTG-0052,Olaparib,97,Breast
97,CTG-0052,Paclitaxel,-3,Breast
98,CTG-0061,5-Fluorouracil,48,Colorectal
99,CTG-0061,Bevacizumab,97,Colorectal
100,CTG-0061,Cetuximab,11,Colorectal
101,CTG-0061,Irinotecan,47,Colorectal
102,CTG-0061,Oxaliplatin,31,Colorectal
103,CTG-0062,5-Fluorouracil,0,Colorectal
104,CTG-0062,Cetuximab,26,Colorectal
105,CTG-0062,Irinotecan,100,Colorectal
106,CTG-0062,Irinotecan,86,Colorectal
107,CTG-0062,Oxaliplatin,86,Colorectal
108,CTG-0062,Oxaliplatin,25,Colorectal
109,CTG-0063,5-Fluorouracil,36,Colorectal
110,CTG-0063,Cetuximab,65,Colorectal
111,CTG-0063,Irinotecan,29,Colorectal
112,CTG-0063,Oxaliplatin,0,Colorectal
113,CTG-0064,5-Fluorouracil,68,Colorectal
114,CTG-0064,Cetuximab,56,Colorectal
115,CTG-0064,Irinotecan,55,Colorectal
116,CTG-0064,Oxaliplatin,50,Colorectal
117,CTG-0064,Panitumumab,33,Colorectal
118,CTG-0065,Cetuximab,91,Colorectal
119,CTG-0065,Irinotecan,100,Colorectal
120,CTG-0065,Oxaliplatin,75,Colorectal
121,CTG-0065,Paclitaxel,15,Colorectal
122,CTG-0066,5-Fluorouracil,88,Colorectal
123,CTG-0066,Cetuximab,98,Colorectal
124,CTG-0066,Irinotecan,100,Colorectal
125,CTG-0066,Oxaliplatin,100,Colorectal
126,CTG-0066,Paclitaxel,96,Colorectal
127,CTG-0067,5-Fluorouracil,45,Colorectal
128,CTG-0067,Cetuximab,-56,Colorectal
129,CTG-0067,Irinotecan,119,Colorectal
130,CTG-0067,Oxaliplatin,95,Colorectal
131,CTG-0068,5-Fluorouracil,-8,Colorectal
132,CTG-0068,Irinotecan,34,Colorectal
133,CTG-0068,Oxaliplatin,61,Colorectal
134,CTG-0069,Capecitabine,93,Colorectal
135,CTG-0069,Sorafenib,93,Colorectal
136,CTG-0069,Cetuximab,-28,Colorectal
137,CTG-0069,Everolimus,86,Colorectal
138,CTG-0069,Lapatinib,86,Colorectal
139,CTG-0069,Irinotecan,123,Colorectal
140,CTG-0069,Irinotecan,100,Colorectal
141,CTG-0069,Lapatinib,100,Colorectal
142,CTG-0069,Irinotecan,100,Colorectal
143,CTG-0069,Temsirolimus,100,Colorectal
144,CTG-0069,Lapatinib,58,Colorectal
145,CTG-0069,Pemetrexed,58,Colorectal
146,CTG-0069,Lapatinib,37,Colorectal
147,CTG-0069,Mitomycin C,37,Colorectal
148,CTG-0069,Trastuzumab,37,Colorectal
149,CTG-0069,Oxaliplatin,-28,Colorectal
150,CTG-0069,Oxaliplatin,39,Colorectal
151,CTG-0069,Oxaliplatin,48,Colorectal
152,CTG-0069,Oxaliplatin,64,Colorectal
153,CTG-0069,Pemetrexed,58,Colorectal
154,CTG-0075,Cetuximab,113,Colorectal
155,CTG-0075,Irinotecan,113,Colorectal
156,CTG-0079,Cetuximab,-124,Colorectal
157,CTG-0079,Irinotecan,31,Colorectal
158,CTG-0079,Irinotecan,92,Colorectal
159,CTG-0079,Oxaliplatin,42,Colorectal
160,CTG-0079,Oxaliplatin,58,Colorectal
161,CTG-0082,Irinotecan,137,Colorectal
162,CTG-0082,Oxaliplatin,137,Colorectal
163,CTG-0083,5-Fluorouracil,0,Colorectal
164,CTG-0083,Cetuximab,0,Colorectal
165,CTG-0083,Irinotecan,62,Colorectal
166,CTG-0083,Oxaliplatin,0,Colorectal
167,CTG-0083,Paclitaxel,27,Colorectal
168,CTG-0084,Irinotecan,90,Colorectal
169,CTG-0084,Oxaliplatin,51,Colorectal
170,CTG-0084,Oxaliplatin,73,Colorectal
171,CTG-0088,Cetuximab,166,Colorectal
172,CTG-0088,Irinotecan,81,Colorectal
173,CTG-0088,Paclitaxel,25,Colorectal
174,CTG-0102,Cisplatin,57,NSCLC
175,CTG-0102,Erlotinib,14,NSCLC
176,CTG-0102,Paclitaxel,79,NSCLC
177,CTG-0103,5-Fluorouracil,67,Colorectal
178,CTG-0103,5-Fluorouracil,190,Colorectal
179,CTG-0103,Irinotecan,66,Colorectal
180,CTG-0103,Irinotecan,228,Colorectal
181,CTG-0103,Oxaliplatin,-18,Colorectal
182,CTG-0103,Oxaliplatin,248,Colorectal
183,CTG-0117,Irinotecan,33,Colorectal
184,CTG-0117,Oxaliplatin,33,Colorectal
185,CTG-0121,Trastuzumab,111,Colorectal
186,CTG-0136,Cisplatin,71,Esophageal
187,CTG-0136,Erlotinib,62,Esophageal
188,CTG-0136,Paclitaxel,96,Esophageal
189,CTG-0137,5-Fluorouracil,68,Esophageal
190,CTG-0137,Oxaliplatin,68,Esophageal
191,CTG-0137,Arsenic trioxide,0,Esophageal
192,CTG-0137,Bevacizumab,86,Esophageal
193,CTG-0137,Cetuximab,0,Esophageal
194,CTG-0137,Epirubicin,88,Esophageal
195,CTG-0137,Erlotinib,0,Esophageal
196,CTG-0137,Bevacizumab,78,Esophageal
197,CTG-0137,Erlotinib,78,Esophageal
198,CTG-0137,Gemcitabine,71,Esophageal
199,CTG-0137,Bevacizumab,100,Esophageal
200,CTG-0137,Gemcitabine,100,Esophageal
201,CTG-0137,Irinotecan,100,Esophageal
202,CTG-0137,Bevacizumab,100,Esophageal
203,CTG-0137,Cetuximab,100,Esophageal
204,CTG-0137,Irinotecan,100,Esophageal
205,CTG-0137,Ixabepilone,100,Esophageal
206,CTG-0137,Arsenic trioxide,100,Esophageal
207,CTG-0137,Ixabepilone,100,Esophageal
208,CTG-0137,Lapatinib,47,Esophageal
209,CTG-0137,Bevacizumab,82,Esophageal
210,CTG-0137,Lapatinib,82,Esophageal
211,CTG-0137,Mitomycin C,100,Esophageal
212,CTG-0137,Bevacizumab,100,Esophageal
213,CTG-0137,Mitomycin C,100,Esophageal
214,CTG-0137,Sorafenib,100,Esophageal
215,CTG-0137,Bevacizumab,100,Esophageal
216,CTG-0137,Sorafenib,100,Esophageal
217,CTG-0137,Sunitinib,85,Esophageal
218,CTG-0137,Bevacizumab,91,Esophageal
219,CTG-0137,Sunitinib,91,Esophageal
220,CTG-0137,Trastuzumab,2,Esophageal
221,CTG-0137,Trastuzumab,65,Esophageal
222,CTG-0137,Trastuzumab,82,Esophageal
223,CTG-0137,Trastuzumab,82,Esophageal
224,CTG-0137,Trastuzumab,94,Esophageal
225,CTG-0138,Trastuzumab,39,Esophageal
226,CTG-0142,Cisplatin,100,Sarcoma
227,CTG-0142,Cyclophosphamide,93,Sarcoma
228,CTG-0142,Cyclophosphamide,141,Sarcoma
229,CTG-0142,Doxorubicin,-17,Sarcoma
230,CTG-0142,Doxorubicin,90,Sarcoma
231,CTG-0142,Doxorubicin,92,Sarcoma
232,CTG-0142,Evofosfamide,50,Sarcoma
233,CTG-0142,Evofosfamide,109,Sarcoma
234,CTG-0142,Ifosfamide,109,Sarcoma
235,CTG-0142,Gemcitabine,77,Sarcoma
236,CTG-0142,Ifosfamide,90,Sarcoma
237,CTG-0142,Ifosfamide,144,Sarcoma
238,CTG-0142,Irinotecan,102,Sarcoma
239,CTG-0142,Irinotecan,103,Sarcoma
240,CTG-0142,Irinotecan,128,Sarcoma
241,CTG-0142,Temozolomide,128,Sarcoma
242,CTG-0142,Methotrexate,34,Sarcoma
243,CTG-0142,Paclitaxel,100,Sarcoma
244,CTG-0142,Temozolomide,56,Sarcoma
245,CTG-0142,Temozolomide,163,Sarcoma
246,CTG-0143,Cisplatin,100,Sarcoma
247,CTG-0143,Cyclophosphamide,144,Sarcoma
248,CTG-0143,Doxorubicin,-3,Sarcoma
249,CTG-0143,Gemcitabine,25,Sarcoma
250,CTG-0143,Ifosfamide,93,Sarcoma
251,CTG-0143,Irinotecan,2,Sarcoma
252,CTG-0143,Irinotecan,125,Sarcoma
253,CTG-0143,Temozolomide,125,Sarcoma
254,CTG-0143,Methotrexate,22,Sarcoma
255,CTG-0143,Paclitaxel,0,Sarcoma
256,CTG-0143,Temozolomide,28,Sarcoma
257,CTG-0146,5-Fluorouracil,37,Gastric
258,CTG-0146,Bevacizumab,63,Gastric
259,CTG-0146,Cetuximab,68,Gastric
260,CTG-0146,Irinotecan,20,Gastric
261,CTG-0146,Irinotecan,53,Gastric
262,CTG-0146,Oxaliplatin,57,Gastric
263,CTG-0147,Irinotecan,82,Gastric
264,CTG-0149,Cetuximab,-16,Head and neck
265,CTG-0149,Cetuximab,86,Head and neck
266,CTG-0149,Cetuximab,100,Head and neck
267,CTG-0149,Cetuximab,102,Head and neck
268,CTG-0149,Cisplatin,-12,Head and neck
269,CTG-0149,Cisplatin,33,Head and neck
270,CTG-0149,Cetuximab,27,Head and neck
271,CTG-0149,Cisplatin,27,Head and neck
272,CTG-0149,Dacarbazine,0,Head and neck
273,CTG-0149,Paclitaxel,4,Head and neck
274,CTG-0149,Temozolomide,0,Head and neck
275,CTG-0152,5-Fluorouracil,1,Head and neck
276,CTG-0152,Cetuximab,58,Head and neck
277,CTG-0152,Cetuximab,85,Head and neck
278,CTG-0152,Cetuximab,100,Head and neck
279,CTG-0152,Cetuximab,109,Head and neck
280,CTG-0152,Cetuximab,146,Head and neck
281,CTG-0152,Cisplatin,49,Head and neck
282,CTG-0152,Cisplatin,50,Head and neck
283,CTG-0152,Cetuximab,107,Head and neck
284,CTG-0152,Cisplatin,107,Head and neck
285,CTG-0152,Paclitaxel,-17,Head and neck
286,CTG-0152,Paclitaxel,40,Head and neck
287,CTG-0152,Paclitaxel,71,Head and neck
288,CTG-0158,Carboplatin,40,NSCLC
289,CTG-0158,Carboplatin,69,NSCLC
290,CTG-0158,Paclitaxel,40,NSCLC
291,CTG-0158,Paclitaxel,69,NSCLC
292,CTG-0158,Cisplatin,70,NSCLC
293,CTG-0158,Erlotinib,-41,NSCLC
294,CTG-0158,Erlotinib,0,NSCLC
295,CTG-0158,Paclitaxel,34,NSCLC
296,CTG-0158,Paclitaxel,93,NSCLC
297,CTG-0159,Carboplatin,18,NSCLC
298,CTG-0159,Paclitaxel,18,NSCLC
299,CTG-0159,Bevacizumab,100,NSCLC
300,CTG-0159,Carboplatin,100,NSCLC
301,CTG-0159,Paclitaxel,100,NSCLC
302,CTG-0159,Cetuximab,0,NSCLC
303,CTG-0159,Cisplatin,-29,NSCLC
304,CTG-0159,Cisplatin,100,NSCLC
305,CTG-0159,Gemcitabine,100,NSCLC
306,CTG-0159,Docetaxel,0,NSCLC
307,CTG-0159,Erlotinib,-35,NSCLC
308,CTG-0159,Erlotinib,8,NSCLC
309,CTG-0159,Erlotinib,31,NSCLC
310,CTG-0159,Erlotinib,35,NSCLC
311,CTG-0159,Erlotinib,44,NSCLC
312,CTG-0159,Paclitaxel,6,NSCLC
313,CTG-0159,Paclitaxel,49,NSCLC
314,CTG-0159,Paclitaxel,85,NSCLC
315,CTG-0159,Pemetrexed,38,NSCLC
316,CTG-0160,Carboplatin,-18,NSCLC
317,CTG-0160,Paclitaxel,-18,NSCLC
318,CTG-0160,Bevacizumab,98,NSCLC
319,CTG-0160,Carboplatin,98,NSCLC
320,CTG-0160,Paclitaxel,98,NSCLC
321,CTG-0160,Cisplatin,40,NSCLC
322,CTG-0160,Cisplatin,56,NSCLC
323,CTG-0160,Cisplatin,0,NSCLC
324,CTG-0160,Cisplatin,43,NSCLC
325,CTG-0160,Gemcitabine,0,NSCLC
326,CTG-0160,Gemcitabine,43,NSCLC
327,CTG-0160,Docetaxel,71,NSCLC
328,CTG-0160,Erlotinib,64,NSCLC
329,CTG-0160,Paclitaxel,67,NSCLC
330,CTG-0160,Paclitaxel,103,NSCLC
331,CTG-0160,Pemetrexed,5,NSCLC
332,CTG-0162,Carboplatin,43,NSCLC
333,CTG-0162,Paclitaxel,43,NSCLC
334,CTG-0162,Bevacizumab,79,NSCLC
335,CTG-0162,Carboplatin,79,NSCLC
336,CTG-0162,Paclitaxel,79,NSCLC
337,CTG-0162,Cisplatin,32,NSCLC
338,CTG-0162,Cisplatin,68,NSCLC
339,CTG-0162,Cisplatin,79,NSCLC
340,CTG-0162,Gemcitabine,68,NSCLC
341,CTG-0162,Gemcitabine,79,NSCLC
342,CTG-0162,Docetaxel,59,NSCLC
343,CTG-0162,Docetaxel,78,NSCLC
344,CTG-0162,Erlotinib,54,NSCLC
345,CTG-0162,Erlotinib,123,NSCLC
346,CTG-0162,Paclitaxel,-49,NSCLC
347,CTG-0162,Paclitaxel,-6,NSCLC
348,CTG-0162,Pemetrexed,-29,NSCLC
349,CTG-0162,Pemetrexed,29,NSCLC
350,CTG-0163,Carboplatin,47,NSCLC
351,CTG-0163,Paclitaxel,47,NSCLC
352,CTG-0163,Bevacizumab,72,NSCLC
353,CTG-0163,Carboplatin,72,NSCLC
354,CTG-0163,Paclitaxel,72,NSCLC
355,CTG-0163,Cisplatin,176,NSCLC
356,CTG-0163,Cisplatin,21,NSCLC
357,CTG-0163,Gemcitabine,21,NSCLC
358,CTG-0163,Docetaxel,0,NSCLC
359,CTG-0163,Erlotinib,-13,NSCLC
360,CTG-0163,Erlotinib,38,NSCLC
361,CTG-0163,Erlotinib,95,NSCLC
362,CTG-0163,Gemcitabine,38,NSCLC
363,CTG-0163,Paclitaxel,-18,NSCLC
364,CTG-0163,Paclitaxel,71,NSCLC
365,CTG-0163,Paclitaxel,101,NSCLC
366,CTG-0163,Pemetrexed,0,NSCLC
367,CTG-0165,Bevacizumab,24,NSCLC
368,CTG-0165,Bevacizumab,44,NSCLC
369,CTG-0165,Cetuximab,17,NSCLC
370,CTG-0165,Cisplatin,7,NSCLC
371,CTG-0165,Cisplatin,29,NSCLC
372,CTG-0165,Cisplatin,83,NSCLC
373,CTG-0165,Erlotinib,-5,NSCLC
374,CTG-0165,Erlotinib,3,NSCLC
375,CTG-0165,Erlotinib,25,NSCLC
376,CTG-0165,Erlotinib,35,NSCLC
377,CTG-0165,Erlotinib,55,NSCLC
378,CTG-0165,Paclitaxel,4,NSCLC
379,CTG-0165,Paclitaxel,9,NSCLC
380,CTG-0165,Paclitaxel,33,NSCLC
381,CTG-0166,Bevacizumab,70,NSCLC
382,CTG-0166,Cetuximab,32,NSCLC
383,CTG-0166,Cisplatin,-57,NSCLC
384,CTG-0166,Cisplatin,69,NSCLC
385,CTG-0166,Paclitaxel,72,NSCLC
386,CTG-0166,Paclitaxel,135,NSCLC
387,CTG-0166,Topotecan,157,NSCLC
388,CTG-0167,Anti-PD1,10,
389,CTG-0167,Ipilimumab,10,
390,CTG-0167,Carboplatin,44,
391,CTG-0167,Pemetrexed,44,
392,CTG-0167,Cisplatin,55,
393,CTG-0167,Cisplatin,33,
394,CTG-0167,Gemcitabine,33,
395,CTG-0167,Erlotinib,-39,
396,CTG-0167,Erlotinib,4,
397,CTG-0167,Everolimus,75,
398,CTG-0167,Osimertinib,55,
399,CTG-0167,Trametinib,1,
400,CTG-0178,Cisplatin,51,NSCLC
401,CTG-0178,Erlotinib,2,NSCLC
402,CTG-0178,Paclitaxel,-16,NSCLC
403,CTG-0184,Cisplatin,31,NSCLC
404,CTG-0184,Erlotinib,68,NSCLC
405,CTG-0184,Paclitaxel,62,NSCLC
406,CTG-0184,Paclitaxel,88,NSCLC
407,CTG-0192,Cisplatin,60,NSCLC
408,CTG-0192,Erlotinib,106,NSCLC
409,CTG-0192,Paclitaxel,28,NSCLC
410,CTG-0192,Paclitaxel,78,NSCLC
411,CTG-0198,Bendamustine,142,SCLC
412,CTG-0198,Bevacizumab,45,SCLC
413,CTG-0198,Cetuximab,0,SCLC
414,CTG-0198,Cisplatin,15,SCLC
415,CTG-0198,Cisplatin,39,SCLC
416,CTG-0198,Etoposide,40,SCLC
417,CTG-0198,Paclitaxel,47,SCLC
418,CTG-0198,Topotecan,92,SCLC
419,CTG-0199,Cetuximab,0,SCLC
420,CTG-0199,Cisplatin,21,SCLC
421,CTG-0199,Erlotinib,11,SCLC
422,CTG-0199,Temozolomide,31,SCLC
423,CTG-0201,Dacarbazine,10,Melanoma
424,CTG-0201,Temozolomide,4,Melanoma
425,CTG-0201,Vemurafenib,9,Melanoma
426,CTG-0202,Anti-CTLA4,33,Melanoma
427,CTG-0202,Anti-PD1,33,Melanoma
428,CTG-0202,Dabrafenib,21,Melanoma
429,CTG-0202,Dabrafenib,84,Melanoma
430,CTG-0202,Dabrafenib,119,Melanoma
431,CTG-0202,Dabrafenib,149,Melanoma
432,CTG-0202,Trametinib,149,Melanoma
433,CTG-0202,Dacarbazine,58,Melanoma
434,CTG-0202,Erlotinib,67,Melanoma
435,CTG-0202,Pembrolizumab,47,Melanoma
436,CTG-0202,Temozolomide,93,Melanoma
437,CTG-0202,Trametinib,102,Melanoma
438,CTG-0202,Trametinib,116,Melanoma
439,CTG-0202,Vemurafenib,-36,Melanoma
440,CTG-0202,Vemurafenib,16,Melanoma
441,CTG-0203,Dacarbazine,78,
442,CTG-0203,Temozolomide,79,
443,CTG-0203,Vemurafenib,9,
444,CTG-0203,Vemurafenib,16,
445,CTG-0204,Pembrolizumab,14,Melanoma
446,CTG-0204,Temozolomide,58,Melanoma
447,CTG-0204,Vemurafenib,22,Melanoma
448,CTG-0210,Carboplatin,26,Melanoma
449,CTG-0210,Dacarbazine,28,Melanoma
450,CTG-0210,Nivolumab,35,Melanoma
451,CTG-0210,Oxaliplatin,43,Melanoma
452,CTG-0210,Sunitinib,56,Melanoma
453,CTG-0210,Nab-paclitaxel,79,Melanoma
454,CTG-0210,Sunitinib,79,Melanoma
455,CTG-0210,Temozolomide,2,Melanoma
456,CTG-0210,Temozolomide,26,Melanoma
457,CTG-0210,Temsirolimus,66,Melanoma
458,CTG-0210,Vemurafenib,66,Melanoma
459,CTG-0213,Temozolomide,97,Melanoma
460,CTG-0213,Vemurafenib,35,Melanoma
461,CTG-0234,Cisplatin,71,Mesothelioma
462,CTG-0234,Pemetrexed,71,Mesothelioma
463,CTG-0234,Doxorubicin,100,Mesothelioma
464,CTG-0234,Sunitinib,60,Mesothelioma
465,CTG-0234,Vinorelbine,59,Mesothelioma
466,CTG-0237,Cisplatin,69,
467,CTG-0237,Cisplatin,109,
468,CTG-0237,Pemetrexed,69,
469,CTG-0237,Pemetrexed,109,
470,CTG-0237,Doxorubicin,37,
471,CTG-0237,Sunitinib,37,
472,CTG-0237,Sunitinib,0,
473,CTG-0237,Vorinostat,0,
474,CTG-0241,Cisplatin,61,Sarcoma
475,CTG-0241,Cisplatin,155,Sarcoma
476,CTG-0241,Doxorubicin,61,Sarcoma
477,CTG-0241,Evofosfamide,32,Sarcoma
478,CTG-0241,Evofosfamide,-1,Sarcoma
479,CTG-0241,Ifosfamide,-1,Sarcoma
480,CTG-0241,Gemcitabine,87,Sarcoma
481,CTG-0241,Ifosfamide,-64,Sarcoma
482,CTG-0241,Ifosfamide,0,Sarcoma
483,CTG-0241,Methotrexate,38,Sarcoma
484,CTG-0241,Paclitaxel,91,Sarcoma
485,CTG-0242,Cisplatin,91,Sarcoma
486,CTG-0242,Gemcitabine,49,Sarcoma
487,CTG-0242,Ifosfamide,94,Sarcoma
488,CTG-0242,Methotrexate,5,Sarcoma
489,CTG-0242,Paclitaxel,73,Sarcoma
490,CTG-0243,Cisplatin,20,Sarcoma
491,CTG-0243,Doxorubicin,32,Sarcoma
492,CTG-0243,Evofosfamide,37,Sarcoma
493,CTG-0243,Evofosfamide,18,Sarcoma
494,CTG-0243,Ifosfamide,18,Sarcoma
495,CTG-0243,Gemcitabine,67,Sarcoma
496,CTG-0243,Ifosfamide,-38,Sarcoma
497,CTG-0243,Ifosfamide,44,Sarcoma
498,CTG-0243,Methotrexate,7,Sarcoma
499,CTG-0243,Paclitaxel,16,Sarcoma
500,CTG-0243,Paclitaxel,37,Sarcoma
501,CTG-0252,Carboplatin,61,Ovarian
502,CTG-0252,Carboplatin,62,Ovarian
503,CTG-0252,Carboplatin,87,Ovarian
504,CTG-0252,Paclitaxel,87,Ovarian
505,CTG-0252,Paclitaxel,-38,Ovarian
506,CTG-0252,Paclitaxel,65,Ovarian
507,CTG-0253,Bevacizumab,75,Ovarian
508,CTG-0253,Carboplatin,-6,Ovarian
509,CTG-0253,Carboplatin,13,Ovarian
510,CTG-0253,Carboplatin,15,Ovarian
511,CTG-0253,Carboplatin,30,Ovarian
512,CTG-0253,Carboplatin,45,Ovarian
513,CTG-0253,Carboplatin,59,Ovarian
514,CTG-0253,Docetaxel,59,Ovarian
515,CTG-0253,Carboplatin,42,Ovarian
516,CTG-0253,Carboplatin,100,Ovarian
517,CTG-0253,Paclitaxel,42,Ovarian
518,CTG-0253,Paclitaxel,100,Ovarian
519,CTG-0253,Paclitaxel,-181,Ovarian
520,CTG-0253,Paclitaxel,19,Ovarian
521,CTG-0253,Paclitaxel,71,Ovarian
522,CTG-0253,Paclitaxel,79,Ovarian
523,CTG-0253,Temozolomide,78,Ovarian
524,CTG-0253,Topotecan,45,Ovarian
525,CTG-0257,Bendamustine,138,Ovarian
526,CTG-0257,Bendamustine,146,Ovarian
527,CTG-0257,Carboplatin,-33,Ovarian
528,CTG-0257,Carboplatin,71,Ovarian
529,CTG-0257,Carboplatin,98,Ovarian
530,CTG-0257,Carboplatin,108,Ovarian
531,CTG-0257,Carboplatin,110,Ovarian
532,CTG-0257,Carboplatin,33,Ovarian
533,CTG-0257,Docetaxel,33,Ovarian
534,CTG-0257,Carboplatin,144,Ovarian
535,CTG-0257,Paclitaxel,144,Ovarian
536,CTG-0257,Liposomal doxorubicin,24,Ovarian
537,CTG-0257,Liposomal doxorubicin,73,Ovarian
538,CTG-0257,Olaparib,-3,Ovarian
539,CTG-0257,Olaparib,60,Ovarian
540,CTG-0257,Paclitaxel,-48,Ovarian
541,CTG-0258,Carboplatin,105,Ovarian
542,CTG-0258,Carboplatin,122,Ovarian
543,CTG-0258,Docetaxel,122,Ovarian
544,CTG-0258,Carboplatin,28,Ovarian
545,CTG-0258,Paclitaxel,28,Ovarian
546,CTG-0258,Liposomal doxorubicin,26,Ovarian
547,CTG-0258,Niraparib,59,Ovarian
548,CTG-0258,Olaparib,-114,Ovarian
549,CTG-0258,Olaparib,-7,Ovarian
550,CTG-0258,Olaparib,50,Ovarian
551,CTG-0258,Paclitaxel,5,Ovarian
552,CTG-0259,Carboplatin,61,Ovarian
553,CTG-0259,Carboplatin,118,Ovarian
554,CTG-0259,Carboplatin,143,Ovarian
555,CTG-0259,Paclitaxel,118,Ovarian
556,CTG-0259,Paclitaxel,143,Ovarian
557,CTG-0259,Liposomal doxorubicin,47,Ovarian
558,CTG-0259,Olaparib,55,Ovarian
559,CTG-0259,Olaparib,66,Ovarian
560,CTG-0282,Docetaxel,26,Pancreatic
561,CTG-0282,Erlotinib,0,Pancreatic
562,CTG-0282,Gemcitabine,92,Pancreatic
563,CTG-0282,Gemcitabine,97,Pancreatic
564,CTG-0282,Gemcitabine,103,Pancreatic
565,CTG-0282,Gemcitabine,173,Pancreatic
